OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Friday,9,-79.3570419590779,43.7133401851931
Friday,23,-79.3886396479316,43.6504150900452
Friday,23,-79.3737742834019,43.6672891526494
Friday,22,-79.5079073546011,43.6543539644425
Thursday,10,-79.2748614449729,43.8406548803527
Saturday,0,-79.380671248531,43.6557678832919
Saturday,21,-79.2250818439258,43.726718133063
Saturday,21,-79.5044616913802,43.6294602022479
Saturday,20,-79.4101584895587,43.6559649362524
Saturday,14,-79.2209980651688,43.8273286013505
Saturday,19,-79.3701189610184,43.6561565368618
Friday,13,-79.3604598045154,43.7520812811724
Saturday,19,-79.3865698175897,43.6388480129494
Saturday,15,-79.4820360726689,43.7463803622247
Saturday,23,-79.4390322472057,43.6684586560351
Saturday,0,-79.3749675454664,43.6551430067869
Saturday,0,-79.418571260024,43.6639414271059
Saturday,0,-79.4714066598734,43.6602977848753
Saturday,10,-79.3285131144394,43.7412160143768
Saturday,11,-79.4614533198342,43.6863178652382
Friday,19,-79.3649811599486,43.7543001663095
Friday,22,-79.5295496069487,43.6438792714567
Saturday,11,-79.2455266299358,43.7394497932619
Friday,22,-79.5287173178584,43.7534351153068
Saturday,12,-79.3047080763854,43.7816358001367
Saturday,3,-79.3976434307559,43.6449484129266
Saturday,11,-79.4355443960239,43.6446644380459
Saturday,1,-79.588344443801,43.7562272550527
Saturday,1,-79.5685284633933,43.7155623296024
Saturday,1,-79.5083271553088,43.7019724370037
Saturday,1,-79.1856556403798,43.7666010913838
Friday,21,-79.3984149557132,43.648319620348
Friday,20,-79.4790169231414,43.6272998075901
Friday,18,-79.4861339927003,43.683723371063
Saturday,0,-79.4989167366923,43.6174908843959
Saturday,0,-79.3028416408239,43.6833644370867
Saturday,23,-79.3801074239196,43.6636911213417
Saturday,17,-79.3860564320166,43.6552343763879
Saturday,0,-79.4058657488446,43.6485849426031
Saturday,13,-79.5141456237807,43.7206276568881
Saturday,16,-79.5692392930605,43.757202696581
Saturday,12,-79.3768506582265,43.6723523758668
Saturday,16,-79.2914605869849,43.7269901432566
Thursday,21,-79.4765867987994,43.7643128234304
Saturday,1,-79.3894619650775,43.7680440884476
Saturday,23,-79.3271470288334,43.7578233249513
Saturday,13,-79.5086306290584,43.7209091805647
Wednesday,0,-79.3468246981985,43.7414981025898
Saturday,2,-79.3176053373147,43.8181570803751
Friday,12,-79.3107514151627,43.6807872771792
Saturday,11,-79.2289638497173,43.835698662661
Saturday,23,-79.3920573664859,43.6453667620203
Saturday,11,-79.3598214107523,43.7145978219767
Saturday,10,-79.312115008658,43.7471607739972
Saturday,9,-79.5821122604179,43.7432574877207
Friday,19,-79.4859536071443,43.6256967987309
Saturday,8,-79.4259073458548,43.7081739975854
Saturday,8,-79.3519621062279,43.6775507813606
Saturday,5,-79.4464102453044,43.6395096584472
Saturday,0,-79.4989167366923,43.6174908843959
Friday,18,-79.4046465659175,43.7219616483983
Saturday,3,-79.3758492709374,43.66648008921
Saturday,3,-79.5289588102118,43.6204156468588
Saturday,23,-79.3470799319483,43.6966385900537
Saturday,3,-79.3976434307559,43.6449484129266
Friday,17,-79.5327833071708,43.5991313819069
Friday,17,-79.3730581514695,43.663183837028
Saturday,11,-79.3842059245105,43.6707982509655
Saturday,3,-79.2859471492513,43.771567956709
Saturday,2,-79.3939116136959,43.6506479551325
Saturday,2,-79.4288669351984,43.6810427228203
Saturday,2,-79.5713844716471,43.7594044673272
Saturday,13,-79.4745564242199,43.7097179639294
Saturday,2,-79.4077192800898,43.6564757728303
Saturday,2,-79.2992264499125,43.7501850935861
Saturday,1,-79.5688651133754,43.6441502770931
Saturday,1,-79.588344443801,43.7562272550527
Saturday,22,-79.1868624020944,43.7706065515387
Saturday,3,-79.3976434307559,43.6449484129266
Saturday,3,-79.5289588102118,43.6204156468588
Saturday,13,-79.3132593307137,43.7522071262356
Saturday,9,-79.5821122604179,43.7432574877207
Saturday,22,-79.3451524009597,43.6796730723028
Saturday,9,-79.5821122604179,43.7432574877207
Saturday,13,-79.588344443801,43.7562272550527
Saturday,13,-79.588344443801,43.7562272550527
Saturday,13,-79.3466251083608,43.7032058609564
Saturday,15,-79.4820360726689,43.7463803622247
Saturday,19,-79.3701189610184,43.6561565368618
Saturday,21,-79.5629328874889,43.6396474287142
Saturday,22,-79.3451524009597,43.6796730723028
Saturday,20,-79.4134517520495,43.6558513698205
Saturday,23,-79.4036947125117,43.6726641019263
Saturday,19,-79.2757975656285,43.6995344596809
Saturday,12,-79.4021118436446,43.76974863566
Sunday,3,-79.511387055911,43.7501285096067
Sunday,4,-79.4019981704324,43.6476071214313
Sunday,4,-79.2801808500752,43.6930262123526
Sunday,4,-79.4066693392474,43.6660722982082
Sunday,4,-79.5037630040119,43.7652441793994
Sunday,9,-79.4465273448982,43.7890713037198
Saturday,23,-79.3280818951928,43.715606982792
Sunday,17,-79.2751946955399,43.8310508696606
Sunday,2,-79.3968256415928,43.7070529901602
Sunday,3,-79.5363037063027,43.7318631789637
Sunday,2,-79.3891771994868,43.6494508359939
Sunday,9,-79.387158718371,43.6550175474703
Sunday,3,-79.4681031446737,43.730329835995
Sunday,9,-79.3507298198006,43.7854097901912
Sunday,2,-79.3406051922182,43.6797846111873
Sunday,3,-79.4895950717833,43.6656520089978
Sunday,10,-79.3746802866043,43.6670883302434
Sunday,2,-79.3849502213687,43.6658342327844
Sunday,11,-79.3106220228842,43.7137981381702
Sunday,2,-79.3710284454984,43.6582885117532
Sunday,1,-79.4188668051857,43.6634667711349
Sunday,23,-79.2802527120414,43.7388896844356
Sunday,1,-79.4005933900695,43.6478817106221
Saturday,11,-79.3397176916506,43.6703797269957
Sunday,13,-79.1856556403798,43.7666010913838
Sunday,13,-79.5598492447548,43.7497986217
Sunday,14,-79.3799703459631,43.6540566122559
Sunday,1,-79.456889779172,43.6553892340142
Sunday,1,-79.3826763228957,43.7074041194505
Sunday,15,-79.3013511760232,43.7439148066786
Sunday,15,-79.4328802119959,43.7812284728458
Sunday,16,-79.5961150626685,43.757526699612
Sunday,21,-79.402703523942,43.6668992653118
Sunday,17,-79.3085664574327,43.6897424878615
Sunday,17,-79.405351150397,43.6663526952036
Sunday,18,-79.3409833843328,43.6894158846517
Sunday,19,-79.3899606218886,43.6687965927948
Sunday,19,-79.4187813384203,43.654450016637
Sunday,20,-79.2970787020784,43.7059286809132
Sunday,20,-79.3081184514172,43.800133195412
Sunday,20,-79.4438066276847,43.7089928547188
Sunday,21,-79.5634105939394,43.7508116882669
