OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Monday,17,-79.4312548827702,43.7257885039585
Monday,17,-79.4312548827702,43.7257885039585
Monday,17,-79.4389890357751,43.7109773974631
Monday,17,-79.4415613945824,43.6366325429119
Monday,17,-79.5951829460371,43.7507194493749
Monday,20,-79.6017340441854,43.7184366347877
Monday,18,-79.4306079625828,43.7293571042718
Monday,19,-79.3849823580426,43.7674044465456
Monday,19,-79.3993119651501,43.6560959115163
Monday,19,-79.2307976547008,43.7802621959812
Monday,19,-79.3972583032603,43.6946506898433
Monday,20,-79.3735615494499,43.6609365152246
Monday,20,-79.3758715997027,43.6549486979862
Monday,20,-79.4306586889028,43.7230697599357
Monday,21,-79.6257699139845,43.6416935814964
Monday,22,-79.5683965435645,43.7483741918923
Monday,0,-79.3647697563659,43.6604417119691
Friday,17,-79.2909657392704,43.7709209034631
Sunday,20,-79.3279109219949,43.6786220655999
Friday,17,-79.3842059245105,43.6707982509655
Sunday,17,-79.4044506721309,43.7338920399274
Wednesday,22,-79.3710284454984,43.6582885117532
Friday,14,-79.3739183310965,43.6864718032776
Thursday,0,-79.4894906437907,43.7574419522304
Sunday,20,-79.4122198846523,43.732306013175
Sunday,20,-79.4122198846523,43.732306013175
Sunday,0,-79.3758959489876,43.6604331970742
Friday,9,-79.5389305411349,43.7430173749953
Thursday,12,-79.5018073145362,43.6981348641733
Friday,12,-79.1277737815586,43.7904882091441
Wednesday,12,-79.4458559976264,43.6620584399175
Friday,13,-79.1939039304973,43.7601696645258
Monday,17,-79.2824063375149,43.732106822859
Wednesday,6,-79.4399959907762,43.6510059993188
Saturday,17,-79.5446709066569,43.7616926495253
Monday,0,-79.3457948187012,43.7036843035894
Monday,1,-79.5170711581945,43.754848130508
Monday,2,-79.3654630014579,43.6686375451161
Monday,2,-79.4195719951152,43.6384885708322
Thursday,0,-79.3322323493515,43.7991951317188
Sunday,21,-79.209317004682,43.7643317532704
Sunday,17,-79.4256715295996,43.7015939269294
Thursday,0,-79.3322323493515,43.7991951317188
Thursday,0,-79.3322323493515,43.7991951317188
Friday,0,-79.3575768661203,43.6747918891569
Wednesday,0,-79.5079994061184,43.6480953274094
Monday,3,-79.5045943069982,43.6885403121213
Monday,6,-79.4213663652097,43.6323088505597
Sunday,7,-79.5594540964498,43.744856816799
Monday,3,-79.369685043235,43.659084858456
Monday,3,-79.2349552643362,43.7815279901841
Monday,3,-79.5352007616246,43.6396889088064
Sunday,15,-79.4098674327297,43.6468344586709
Saturday,17,-79.4209513388044,43.6566237559073
Sunday,22,-79.382398439009,43.650271451585
Sunday,23,-79.4343097705351,43.657116427229
Thursday,21,-79.4124720164955,43.7740921850579
Monday,3,-79.3043886850502,43.7795560471416
Monday,4,-79.3000845913662,43.7798668652725
Monday,4,-79.3978679899017,43.6748975033566
Monday,5,-79.368617016772,43.6563138924727
Monday,6,-79.2981029723477,43.7810482328099
Monday,8,-79.387412268291,43.6684711696888
Monday,9,-79.3036571462378,43.7221803443704
Monday,9,-79.3413835403158,43.708011630432
Monday,9,-79.4672407554559,43.6539746675397
Monday,10,-79.4287178436423,43.6618776094086
Monday,10,-79.4424069242663,43.7806667151848
Monday,11,-79.4094217184046,43.6805628726913
Monday,11,-79.4383688317957,43.7173167590073
Monday,12,-79.515448321106,43.763223691731
Monday,13,-79.3694039187291,43.7447693561295
Sunday,22,-79.382398439009,43.650271451585
Sunday,22,-79.382398439009,43.650271451585
Monday,3,-79.5045943069982,43.6885403121213
Monday,14,-79.3643876914907,43.6648663669401
Monday,14,-79.5092992016922,43.7383048438255
Monday,14,-79.5092992016922,43.7383048438255
Monday,19,-79.2307976547008,43.7802621959812
Monday,20,-79.3735615494499,43.6609365152246
Monday,20,-79.3735615494499,43.6609365152246
Monday,20,-79.3735615494499,43.6609365152246
Monday,22,-79.5683965435645,43.7483741918923
Monday,13,-79.4313479008724,43.6577303253083
Friday,12,-79.4192685170236,43.6984201837374
Monday,6,-79.316598885525,43.6663539539823
Tuesday,17,-79.2779530149568,43.7424407555221
Tuesday,17,-79.589703500371,43.7429099854182
Tuesday,16,-79.274961123864,43.8269615546311
Tuesday,16,-79.3093448506912,43.7409129355391
Tuesday,15,-79.4477457039701,43.7402370981413
Saturday,14,-79.5418705201659,43.6815777981607
Tuesday,15,-79.323226052453,43.6838945805301
Tuesday,15,-79.2028523971869,43.7639187852766
Tuesday,15,-79.4102065253688,43.7224747818525
Tuesday,15,-79.2657679149362,43.7364127376701
Tuesday,14,-79.3791313378142,43.6459808612379
Friday,4,-79.5189993660024,43.7067303606138
Tuesday,5,-79.4604379862481,43.6838837233096
Tuesday,5,-79.4604379862481,43.6838837233096
Tuesday,14,-79.288125214256,43.8120661900782
Monday,0,-79.2951316713008,43.6960741669837
Tuesday,18,-79.3783434102009,43.6662791241438
Monday,0,-79.2951316713008,43.6960741669837
Tuesday,9,-79.253125521519,43.7698351023615
Tuesday,13,-79.3327125020317,43.6822707385732
Tuesday,13,-79.2925460219741,43.742954116559
Tuesday,13,-79.3327125020317,43.6822707385732
Tuesday,15,-79.2657679149362,43.7364127376701
Tuesday,13,-79.2323959338441,43.7200292490368
Tuesday,17,-79.2481838521705,43.7111149973766
Tuesday,17,-79.2481838521705,43.7111149973766
Friday,11,-79.1035934350978,43.848138477822
Tuesday,13,-79.2858721043564,43.8027420204373
Tuesday,12,-79.5229229860031,43.7513824722984
Tuesday,20,-79.5187589269812,43.7691571849407
Tuesday,12,-79.4019981704324,43.6476071214313
Tuesday,12,-79.3741407962036,43.7943363123989
Tuesday,11,-79.3861069369706,43.647388890449
Tuesday,11,-79.2756250332192,43.8110142760092
Tuesday,5,-79.2262560128062,43.7443876815202
Monday,20,-79.2397301723711,43.7416046821616
Monday,17,-79.2794542892007,43.7612921978828
Saturday,10,-79.2527694587459,43.7039473929273
Friday,17,-79.3348574527043,43.6809419177626
Thursday,19,-79.4686005186877,43.7484476753723
Tuesday,18,-79.368634367185,43.6521422576996
Tuesday,18,-79.5569568614517,43.6161008750104
Tuesday,19,-79.3433565743483,43.7750060042097
Sunday,16,-79.222257487938,43.7510203950854
Tuesday,11,-79.4357541033108,43.7442491119862
Tuesday,20,-79.4269575391218,43.6437770911382
Saturday,13,-79.4655082066833,43.730925845212
Tuesday,18,-79.2634578522144,43.6957474170545
Tuesday,20,-79.5187589269812,43.7691571849407
Tuesday,21,-79.5777467917416,43.7413003075352
Tuesday,21,-79.6024737353633,43.6237453705414
Tuesday,21,-79.4718287975718,43.6717559912366
Tuesday,8,-79.327432319408,43.8169115454517
Tuesday,23,-79.3997172825108,43.6366253576985
Monday,23,-79.5607360637309,43.7524715804602
Tuesday,10,-79.5323946918452,43.7491742002607
Tuesday,11,-79.3699643453104,43.6655748248073
Tuesday,11,-79.4489693200836,43.7174898288382
Tuesday,10,-79.4714966893847,43.6560404778361
Tuesday,9,-79.4130622760141,43.6712287984654
Tuesday,9,-79.5495466292711,43.7598069312624
Thursday,12,-79.3840049198687,43.6423846483867
Tuesday,9,-79.3867844299272,43.670220211821
Friday,0,-79.3762777668688,43.6437932464262
Tuesday,9,-79.415448445105,43.705232188003
Tuesday,9,-79.3280188039394,43.6709169523734
Tuesday,9,-79.1395022626386,43.7995305366452
Tuesday,8,-79.4706022270224,43.6539117106878
Monday,9,-79.456889779172,43.6553892340142
Tuesday,5,-79.5738658301642,43.761489079251
Tuesday,5,-79.4610493132693,43.6651693980301
Tuesday,4,-79.3798710789841,43.6559485936043
Tuesday,2,-79.2729828621956,43.7729598264429
Tuesday,1,-79.3415556787895,43.6908405976216
Monday,20,-79.2822523737301,43.8027120487719
Monday,14,-79.4353951601825,43.6663915430298
Tuesday,17,-79.4988193484717,43.6844702155641
Tuesday,0,-79.3944158176362,43.7120648215482
Tuesday,0,-79.4357541033108,43.7442491119862
Thursday,12,-79.537632467837,43.7195516341876
Tuesday,0,-79.1577786914564,43.7938427978746
