OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Saturday,0,-79.5818144154922,43.6565968924175
Thursday,23,-79.373014025,43.6423828243855
Thursday,19,-79.5096773046176,43.7396665192647
Thursday,22,-79.4487313940157,43.7854992633364
Tuesday,9,-79.3997189255292,43.6625751839665
Thursday,19,-79.3938939289787,43.7105845883768
Saturday,0,-79.5818144154922,43.6565968924175
Thursday,8,-79.5327292542332,43.6801551534185
Thursday,20,-79.3140788779269,43.8097077079132
Thursday,20,-79.2705986949311,43.6986160637806
Thursday,5,-79.3794484077264,43.6688877312952
Thursday,20,-79.3467986856036,43.7817591069605
Thursday,3,-79.191070357544,43.7659767209923
Thursday,8,-79.3047080763854,43.7816358001367
Thursday,3,-79.4179163021883,43.7893554820846
Thursday,1,-79.2738862324373,43.7308392604866
Thursday,20,-79.605726565843,43.7289211906915
Thursday,20,-79.4036098284458,43.6692138188738
Thursday,20,-79.4494695635728,43.7275808110579
Thursday,20,-79.2524700146388,43.7277885892742
Thursday,21,-79.4351111286815,43.7930572755619
Thursday,21,-79.4293264071214,43.7699119395032
Thursday,7,-79.401510117794,43.738413138606
Thursday,21,-79.3429322039741,43.7388968913257
Thursday,21,-79.5421282157603,43.7508415742286
Thursday,16,-79.4013696624369,43.7679949101493
Thursday,16,-79.512481418249,43.6855065282865
Thursday,21,-79.3881482645644,43.6469590109043
Thursday,19,-79.3858513056889,43.6608094770709
Thursday,19,-79.5096773046176,43.7396665192647
Thursday,20,-79.2705986949311,43.6986160637806
Thursday,20,-79.404072775407,43.6572025830541
Thursday,0,-79.2738862324373,43.7308392604866
Wednesday,23,-79.2917065444059,43.6957105290905
Thursday,13,-79.2757191661402,43.69462440093
Wednesday,16,-79.4625399303302,43.6809495311033
Wednesday,21,-79.404748815871,43.6421051959485
Thursday,8,-79.485435016772,43.6800806803517
Wednesday,20,-79.2608678603757,43.714840164802
Wednesday,19,-79.4321534263734,43.6368169124651
Wednesday,19,-79.4310521466929,43.6767548455787
Thursday,7,-79.3435875917994,43.6602816703805
Wednesday,18,-79.5075672787743,43.6944239371064
Thursday,17,-79.4170865856349,43.6800985341254
Wednesday,16,-79.6171834799727,43.7438520536654
Sunday,18,-79.4093413265841,43.6742561875662
Wednesday,14,-79.5158217523631,43.6120784476431
Thursday,22,-79.4061878170598,43.7764036842804
Wednesday,12,-79.4751783472057,43.6576262299301
Wednesday,11,-79.5229229860031,43.7513824722984
Friday,22,-79.3771445948276,43.6564949772036
Friday,7,-79.3157659002862,43.7026648185029
Friday,16,-79.4484470365831,43.7734326307926
Thursday,17,-79.4266483080627,43.7146285512168
Friday,1,-79.5734709962145,43.7257443466408
Friday,22,-79.4309136760991,43.7719201727312
Thursday,23,-79.5272225359362,43.6532625136147
Thursday,19,-79.5681905251826,43.6325665496389
Friday,6,-79.4885360302723,43.6656354265243
Friday,4,-79.3908219188854,43.6700313946477
Friday,3,-79.3781153308308,43.6691405519426
Friday,2,-79.4066127547357,43.6521856259247
Friday,2,-79.3822658002092,43.6583301347217
Friday,2,-79.3063375017678,43.7208796481237
Friday,1,-79.4678577175905,43.6819535004419
Friday,0,-79.2365681429442,43.788364245349
Friday,0,-79.4124336799349,43.6648788345749
Thursday,23,-79.3462630722954,43.678663440106
Thursday,23,-79.5687029983743,43.7258867993709
Friday,22,-79.3794592011014,43.6638215716393
Friday,22,-79.3841540266399,43.6638977699362
Saturday,17,-79.5038346618397,43.7028718381898
Thursday,21,-79.4698667860808,43.7241040321225
Sunday,4,-79.3921369685521,43.6399212814465
Friday,21,-79.5037630040119,43.7652441793994
Wednesday,18,-79.3453651024703,43.6900866223055
Thursday,21,-79.2675034524538,43.8102807567311
Wednesday,15,-79.1987401324553,43.7462932637566
Friday,18,-79.4403115907399,43.6391958977373
Friday,17,-79.5075788689834,43.7227094774382
Friday,17,-79.4159980347347,43.7816314770614
Friday,21,-79.3956244710586,43.6399394880405
Thursday,23,-79.5272225359362,43.6532625136147
Friday,16,-79.4199734754744,43.7122655230524
Friday,13,-79.3860564320166,43.6552343763879
Friday,16,-79.5586453458652,43.6942434437091
Friday,19,-79.4800785666811,43.7274676260332
Wednesday,18,-79.3453651024703,43.6900866223055
Friday,16,-79.4484470365831,43.7734326307926
Friday,16,-79.2461976705734,43.751146593889
Friday,16,-79.367807732821,43.6585787170849
Friday,15,-79.3326031390057,43.8137055428384
