OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Wednesday,0,-79.5749325295476,43.6303540555921
Wednesday,1,-79.4131910470889,43.7769195136504
Wednesday,2,-79.4200050280542,43.6439748764046
Wednesday,5,-79.3448902929135,43.7361804055616
Wednesday,5,-79.5250476910836,43.7399919840805
Wednesday,5,-79.3799703459631,43.6540566122559
Wednesday,6,-79.3799703459631,43.6540566122559
Wednesday,0,-79.4279578774228,43.649058905203
Wednesday,0,-79.5749325295476,43.6303540555921
Thursday,13,-79.3635228237589,43.7103538719644
Thursday,21,-79.2809997838154,43.712039541262
Thursday,12,-79.5956189675991,43.7172626263242
Thursday,12,-79.5605334624444,43.6091016179124
Wednesday,14,-79.4781846362935,43.7596225165868
Thursday,9,-79.4159980347347,43.7816314770614
Thursday,21,-79.489406097876,43.6702911293051
Thursday,5,-79.5619358087259,43.6342188463536
Thursday,23,-79.2951560896996,43.7425987468531
Thursday,23,-79.1880739975143,43.7672636737577
Thursday,23,-79.4171069547561,43.638643856668
Thursday,3,-79.3001524624091,43.6839439785557
Thursday,23,-79.4111526044174,43.7623459810031
Thursday,19,-79.3043886850502,43.7795560471416
Thursday,17,-79.5242833716889,43.7559224457498
Thursday,20,-79.3697136457227,43.6617748557602
Thursday,21,-79.522130476401,43.7555308441442
Thursday,11,-79.379064715344,43.6719091380556
Thursday,21,-79.522130476401,43.7555308441442
Thursday,21,-79.522130476401,43.7555308441442
Thursday,21,-79.4502410804509,43.7535541878173
Thursday,0,-79.2518718953523,43.8267259027827
Thursday,22,-79.222999153108,43.7580197756086
Tuesday,17,-79.4519148785608,43.752682164757
Thursday,3,-79.3001524624091,43.6839439785557
Thursday,20,-79.3520977282349,43.7864804839544
Thursday,0,-79.2518718953523,43.8267259027827
Thursday,20,-79.2373833450264,43.818973971081
Sunday,5,-79.3639131942817,43.6821939575004
Tuesday,21,-79.500065079958,43.7673077602715
Friday,17,-79.1979753694256,43.7903085105143
Wednesday,11,-79.5108327801423,43.7466603628058
Thursday,21,-79.4502410804509,43.7535541878173
Friday,21,-79.4102065253688,43.7224747818525
Friday,21,-79.4102065253688,43.7224747818525
Monday,13,-79.4003163868338,43.6687354160202
Thursday,20,-79.3498486239705,43.6588721536515
Thursday,21,-79.522130476401,43.7555308441442
Thursday,20,-79.368064133507,43.6508226579109
Thursday,16,-79.4076886776556,43.6514923963156
Wednesday,18,-79.3649602165595,43.6551165459844
Thursday,0,-79.3772108676691,43.6635929654536
Thursday,12,-79.4060187053613,43.6523054964808
Tuesday,12,-79.4730627294331,43.6767846358245
Tuesday,11,-79.6028464081026,43.648615122442
Thursday,17,-79.4273711381786,43.6389542870024
Tuesday,9,-79.5796796151154,43.7571350417259
Saturday,22,-79.5533467560268,43.7406219560186
Tuesday,8,-79.3366001838311,43.6589267282184
Thursday,15,-79.5412094659464,43.7657461746017
Thursday,13,-79.5453603317335,43.7648688396318
Tuesday,1,-79.4155740411177,43.7797628753972
Thursday,15,-79.5141456237807,43.7206276568881
Thursday,7,-79.3118143972173,43.7479561207355
Friday,5,-79.5250476910836,43.7399919840805
Thursday,15,-79.451763933054,43.7007501735656
Thursday,10,-79.4426710780883,43.6698018927529
Sunday,1,-79.3777553893951,43.6519572984245
Wednesday,4,-79.4022861455771,43.6565824513068
Thursday,19,-79.4256558085505,43.6619787413368
Friday,8,-79.5108327801423,43.7466603628058
Friday,8,-79.5108327801423,43.7466603628058
Thursday,19,-79.382401296975,43.6613682396022
Thursday,0,-79.2518718953523,43.8267259027827
Thursday,0,-79.2518718953523,43.8267259027827
Thursday,0,-79.2518718953523,43.8267259027827
Thursday,0,-79.2518718953523,43.8267259027827
Thursday,9,-79.5158217523631,43.6120784476431
Wednesday,18,-79.2913804299595,43.6687582810769
Friday,17,-79.1979753694256,43.7903085105143
Friday,17,-79.1979753694256,43.7903085105143
Thursday,9,-79.522130476401,43.7555308441442
Thursday,9,-79.3138493060425,43.7604972288222
Thursday,0,-79.4064420218596,43.7266753521311
Thursday,8,-79.3903757247403,43.6544971853306
Thursday,0,-79.2518718953523,43.8267259027827
