OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Friday,22,-79.552411309335,43.6459201435429
Friday,17,-79.3892212314137,43.654678160948
Friday,23,-79.4236554901708,43.6876129784724
Saturday,4,-79.4198418661357,43.6997420080996
Saturday,14,-79.4007602985542,43.6698095811443
Saturday,15,-79.318834587537,43.6996603224824
Saturday,16,-79.3127754374242,43.6856787420454
Friday,9,-79.3842059245105,43.6707982509655
Saturday,16,-79.5783041535352,43.6281749975404
Saturday,17,-79.6304778952486,43.7186246098608
Saturday,18,-79.3009844858288,43.6894256303084
Sunday,0,-79.4768481191946,43.68890647271
Saturday,18,-79.2338871489439,43.7817405380626
Saturday,18,-79.3176488588485,43.6688843534649
Thursday,0,-79.3272439010835,43.6745299162728
Saturday,1,-79.3013468128153,43.6902710933576
Saturday,18,-79.5443772412644,43.7382784277817
Saturday,19,-79.4060382474949,43.6721819798544
Saturday,19,-79.3437191362443,43.7758285046409
Saturday,19,-79.3691169001982,43.6671005403441
Saturday,19,-79.2770252214582,43.7516471783146
Saturday,19,-79.3981743649099,43.6483674916155
Saturday,20,-79.1862222239397,43.7684028883572
Saturday,20,-79.3771547663481,43.7110304135574
Saturday,15,-79.3280188039394,43.6709169523734
Saturday,2,-79.1990769451561,43.800274328296
Saturday,20,-79.4013526196678,43.7564706369586
Saturday,20,-79.5104223788272,43.7247661369879
Friday,20,-79.2606181047103,43.7334675765874
Saturday,23,-79.3805774952918,43.6464145918027
Sunday,1,-79.4118330316713,43.7313064971884
Sunday,2,-79.5495644342961,43.6343073064937
Sunday,13,-79.3979889550598,43.6370429510164
Saturday,21,-79.4178079938069,43.6819191096677
Sunday,14,-79.3558447415727,43.6870783288785
Sunday,17,-79.1849070557951,43.8088287905091
Sunday,0,-79.1839631264009,43.7845019170873
Sunday,16,-79.3874429780536,43.6649692639166
Wednesday,23,-79.3716309289845,43.7680097865936
Sunday,16,-79.4494695635728,43.7275808110579
Sunday,16,-79.4627678191457,43.7503711025769
Sunday,2,-79.4740722202461,43.678893052575
Sunday,2,-79.4109161839773,43.6513027698793
Saturday,20,-79.4838596481127,43.6977564675919
Sunday,16,-79.3814542281699,43.6592184772854
Sunday,16,-79.4222548435139,43.7363190591761
Saturday,21,-79.2689980956022,43.7390385983297
Sunday,8,-79.4471059070292,43.7901818227742
Sunday,2,-79.4557922466025,43.6777736054271
Friday,0,-79.2403662119073,43.7906602476591
Thursday,20,-79.4368334077327,43.6895781085599
Sunday,3,-79.3617795129459,43.6603539901967
Sunday,16,-79.3809227673582,43.6563225842995
Sunday,15,-79.4884498228144,43.6080481565557
Monday,23,-79.4563162754174,43.6715783046679
Sunday,15,-79.5994473628634,43.7309026620875
Sunday,15,-79.2865730892026,43.6868988905197
Sunday,14,-79.4266511858277,43.6370680537288
Sunday,14,-79.382401296975,43.6613682396022
Thursday,0,-79.2996930910248,43.6946753318001
Sunday,13,-79.3990841363336,43.6573379436642
Sunday,13,-79.3979889550598,43.6370429510164
Sunday,6,-79.5684304633188,43.6757066651642
Wednesday,0,-79.3874998515521,43.6719176703342
Sunday,13,-79.3988626266637,43.6381169718995
Sunday,5,-79.5075788689834,43.7227094774382
Sunday,4,-79.5156919451832,43.705952614473
Sunday,0,-79.1839631264009,43.7845019170873
Saturday,20,-79.6054008128007,43.7451033702917
Saturday,20,-79.6054008128007,43.7451033702917
Saturday,20,-79.6054008128007,43.7451033702917
Sunday,15,-79.5994473628634,43.7309026620875
Sunday,22,-79.4159980347347,43.7816314770614
Sunday,13,-79.3764994426338,43.6457776775447
Sunday,4,-79.3290557822042,43.6605471215857
Saturday,22,-79.2913429962309,43.7669673156575
Sunday,7,-79.2795134433468,43.7032125069372
Friday,9,-79.5574457827368,43.7200237392993
Sunday,3,-79.1666295040058,43.7673578490237
Sunday,17,-79.2686039861722,43.7338080333059
Saturday,23,-79.3953619603523,43.6462086548464
Sunday,5,-79.2924934700667,43.8091597755617
Sunday,6,-79.5684304633188,43.6757066651642
Sunday,2,-79.3604837442361,43.6606666986824
Sunday,2,-79.2467555885522,43.7552573269656
Friday,18,-79.4364727921821,43.7472416701155
Sunday,1,-79.2729828621956,43.7729598264429
Sunday,1,-79.3901961495879,43.6713506970491
Sunday,5,-79.4882747441671,43.7640809216183
Wednesday,0,-79.2890693336204,43.7578898710561
Sunday,1,-79.1833874842307,43.7743033563552
Sunday,23,-79.3928553978209,43.6473145822947
Sunday,16,-79.4494695635728,43.7275808110579
Sunday,9,-79.5161975699883,43.7001519748185
Sunday,1,-79.4118330316713,43.7313064971884
Sunday,0,-79.4137487371868,43.7574397946576
Saturday,23,-79.1883072606292,43.7865723643048
Sunday,4,-79.3267850625565,43.8131192147503
Saturday,23,-79.401591550067,43.7219640108682
Sunday,23,-79.3928553978209,43.6473145822947
Saturday,22,-79.3848902106904,43.6585045355792
Saturday,20,-79.36303389611,43.6548198369649
Sunday,23,-79.2915408384837,43.8198224272764
Saturday,19,-79.2338871489439,43.7817405380626
Saturday,19,-79.2520478488261,43.7358438385763
Saturday,20,-79.4838596481127,43.6977564675919
Friday,17,-79.6031230626242,43.6950186718656
Sunday,4,-79.587080202564,43.6613102158185
Saturday,16,-79.5158217523631,43.6120784476431
Sunday,3,-79.3128327858102,43.7053900711835
Saturday,9,-79.5033974457219,43.7410703043346
Sunday,4,-79.587080202564,43.6613102158185
Sunday,16,-79.578413990075,43.6898893064274
Friday,17,-79.6031230626242,43.6950186718656
Saturday,12,-79.3466251083608,43.7032058609564
Sunday,21,-79.463726792221,43.751751741674
Sunday,20,-79.1948904245231,43.7664897329517
Sunday,20,-79.196216830598,43.7866207023673
Sunday,19,-79.4459256472103,43.7720647202134
Sunday,2,-79.2686039861722,43.7338080333059
Sunday,14,-79.2922148675538,43.814572938966
Sunday,0,-79.3401807284586,43.6581343133562
Friday,18,-79.4364727921821,43.7472416701155
Sunday,18,-79.3805774952918,43.6464145918027
Saturday,22,-79.4101204269779,43.7582199761859
Saturday,22,-79.4101204269779,43.7582199761859
Saturday,22,-79.4101204269779,43.7582199761859
