OCC_DOW,OCC_HOUR,LONG_WGS84,LAT_WGS84
Tuesday,9,-79.3930775050503,43.6707471618785
Thursday,9,-79.2794707534672,43.8277010213736
Wednesday,13,-79.4433029943856,43.659895723791
Wednesday,13,-79.4433029943856,43.659895723791
Wednesday,15,-79.3771445948276,43.6564949772036
Wednesday,15,-79.2898283687567,43.7389525362762
Wednesday,18,-79.5081546254046,43.719071169774
Wednesday,18,-79.4476031934624,43.6519211032442
Wednesday,19,-79.5337348925466,43.6042585954059
Wednesday,19,-79.5337348925466,43.6042585954059
Wednesday,19,-79.2189101788808,43.7431758890719
Tuesday,14,-79.38619750969,43.7091852294149
Tuesday,14,-79.3100238484082,43.7315478431302
Tuesday,12,-79.3569551327217,43.6628209427675
Tuesday,9,-79.4889771434969,43.6977066211861
Tuesday,12,-79.3882644151535,43.652401991263
Tuesday,14,-79.431734270602,43.7278275624114
Wednesday,0,-79.5751553589616,43.632035415245
Wednesday,8,-79.1856556403798,43.7666010913838
Wednesday,10,-79.2848260623075,43.7284658166801
Wednesday,10,-79.1850297848184,43.7726017257119
Wednesday,21,-79.4143808062986,43.7751508461291
Wednesday,10,-79.5522620086937,43.6150620375772
Tuesday,23,-79.4296635559577,43.69682184388
Wednesday,9,-79.3851920829602,43.6592196999038
Wednesday,10,-79.4482585472154,43.6985912616458
Wednesday,10,-79.4494695635728,43.7275808110579
Wednesday,11,-79.1771664195234,43.7962793007734
Monday,14,-79.4457553222831,43.7924127558532
Wednesday,8,-79.2047018362973,43.7485725386609
Wednesday,11,-79.3763666950714,43.6585076159695
Wednesday,8,-79.5158217523631,43.6120784476431
Wednesday,12,-79.1898992467087,43.7713805581644
Wednesday,12,-79.3723617305557,43.6515214260325
Wednesday,12,-79.5227430207422,43.7270330197637
Wednesday,12,-79.4711203228007,43.6717753199974
Wednesday,13,-79.4289825559693,43.6509815099488
Wednesday,13,-79.265049081818,43.7515155620067
Wednesday,13,-79.4433029943856,43.659895723791
Wednesday,13,-79.4131067870284,43.7701328726573
Wednesday,14,-79.4759642166868,43.6994255770383
Wednesday,8,-79.2597272090772,43.7876952188303
Wednesday,14,-79.562355927838,43.747758956077
Wednesday,14,-79.387862832606,43.6728676683215
Wednesday,14,-79.5881455107897,43.6989905537732
Tuesday,21,-79.4138747263073,43.6552069401264
Wednesday,14,-79.3728176134323,43.6475007161192
Wednesday,15,-79.4029401153811,43.7278289850574
Monday,15,-79.4714631278161,43.729598185682
Wednesday,15,-79.3737742834019,43.6672891526494
Wednesday,15,-79.3771445948276,43.6564949772036
Wednesday,6,-79.397411289727,43.6485318131621
Thursday,14,-79.2844351336401,43.7275739684519
Sunday,19,-79.4606982914094,43.6578788606534
Thursday,11,-79.4460502991488,43.785911631157
Thursday,11,-79.4356858552149,43.6795858409948
Thursday,12,-79.2800848485841,43.7580079558612
Thursday,17,-79.5971253079001,43.6965384885978
Thursday,12,-79.5158217523631,43.6120784476431
Sunday,13,-79.3185472438684,43.6928037638626
Thursday,12,-79.5328025820381,43.7263535902009
Thursday,13,-79.393255322633,43.7052765812168
Thursday,13,-79.3824674278651,43.6452860582832
Thursday,14,-79.3702618167537,43.6685507915497
Thursday,17,-79.3152419344136,43.7578632390944
Thursday,14,-79.3005552073673,43.7196996654394
Thursday,15,-79.5608093809775,43.666510871501
Thursday,18,-79.4402109624126,43.6664515400288
Thursday,15,-79.2540090227921,43.7312844042661
Thursday,15,-79.2251593011977,43.7417866078101
Friday,16,-79.1948904245231,43.7664897329517
Thursday,15,-79.3470416798389,43.7558055672475
Thursday,15,-79.3448392239802,43.6789458527888
Thursday,15,-79.4844793369799,43.6493242365327
Thursday,15,-79.3959603301538,43.6815410036377
Thursday,18,-79.5081216715014,43.7279891784857
Thursday,19,-79.5950217432587,43.7310594421653
Wednesday,20,-79.3680112830173,43.6563330782298
Wednesday,20,-79.309041602631,43.6723811884421
Wednesday,18,-79.3469494344024,43.7652809884313
Wednesday,17,-79.4750768117999,43.7572122543497
Thursday,15,-79.3959603301538,43.6815410036377
Thursday,15,-79.2646253504829,43.8095285615231
Wednesday,15,-79.3218050814575,43.7854349803017
Thursday,16,-79.3470374417857,43.7751009539344
Thursday,16,-79.3672266475577,43.6639492221212
Thursday,21,-79.3563671196913,43.6766806163529
Thursday,7,-79.4676922922282,43.6917098931505
Tuesday,15,-79.3985454747389,43.637779265018
Wednesday,17,-79.433260471459,43.7065848396
Wednesday,9,-79.215006513158,43.8148573205402
Friday,0,-79.4255557625814,43.6514500460679
Tuesday,22,-79.3655719410778,43.6731780226961
Tuesday,22,-79.3861572516298,43.6724339266844
Wednesday,12,-79.3594948824373,43.7733364365397
Thursday,0,-79.5666985556411,43.711697228047
Thursday,20,-79.4398595932486,43.6399449809625
Sunday,14,-79.447794647947,43.7195782629026
Thursday,0,-79.3959660050756,43.6478016301921
Thursday,22,-79.5214235262934,43.7732018258792
Thursday,20,-79.3404269454324,43.6724875655797
Thursday,0,-79.3805774952918,43.6464145918027
Thursday,21,-79.5128074227241,43.7514667384787
Thursday,0,-79.3556010309607,43.7798207770788
Tuesday,20,-79.6349321350739,43.7474308136791
Thursday,0,-79.4446186070323,43.7842509732899
Thursday,1,-79.4996151120807,43.6715264427148
Thursday,1,-79.4439932042167,43.6580834977195
Thursday,2,-79.3972354488788,43.6508960808962
Thursday,2,-79.4686130392081,43.6654563330043
Thursday,22,-79.5629860766964,43.7000050639527
Friday,12,-79.3036571462378,43.7221803443704
Thursday,3,-79.3807192628818,43.6635544373653
Thursday,3,-79.4481833312843,43.657542692763
Saturday,13,-79.5104223788272,43.7247661369879
Friday,0,-79.4255557625814,43.6514500460679
Thursday,4,-79.4317401464065,43.6336725865889
Thursday,4,-79.1739202519221,43.77115026258
Thursday,21,-79.3563671196913,43.6766806163529
Thursday,4,-79.4804699770607,43.7553147855104
Thursday,4,-79.2670626796084,43.708712018724
Thursday,5,-79.4617159732663,43.7191798668512
Thursday,8,-79.3100275876415,43.8206323985992
Thursday,8,-79.386004344884,43.6590382804812
Thursday,9,-79.4022861455771,43.6565824513068
Thursday,10,-79.3561942666306,43.6890985236277
Wednesday,23,-79.5910109585848,43.711762175802
Thursday,10,-79.381108948255,43.642053465315
Thursday,11,-79.3817146126638,43.6518875805531
Saturday,9,-79.196216830598,43.7866207023673
Wednesday,20,-79.5363037063027,43.7318631789637
Thursday,15,-79.3959603301538,43.6815410036377
Thursday,3,-79.3059633078726,43.7142720821075
Thursday,12,-79.5328025820381,43.7263535902009
Thursday,9,-79.4022861455771,43.6565824513068
Thursday,7,-79.4676922922282,43.6917098931505
Thursday,7,-79.4676922922282,43.6917098931505
Wednesday,21,-79.177563516208,43.7635995391437
Wednesday,21,-79.177563516208,43.7635995391437
Thursday,15,-79.3959603301538,43.6815410036377
Thursday,2,-79.5044017677904,43.7051528551646
Friday,0,-79.5250476910836,43.7399919840805
Wednesday,10,-79.3701189610184,43.6561565368618
Sunday,19,-79.4606982914094,43.6578788606534
Thursday,10,-79.470397692504,43.6912192018148
Thursday,3,-79.4005025589178,43.6570848540294
Thursday,2,-79.5254427895944,43.7030007298439
Friday,5,-79.4910760605325,43.724611055218
Friday,12,-79.44569405137,43.6446034369737
Thursday,12,-79.3204179768891,43.7563471540496
Thursday,14,-79.4437254424689,43.7425574087157
Thursday,15,-79.3594948824373,43.7733364365397
Monday,19,-79.5290585208985,43.6409205820233
Sunday,15,-79.399912534069,43.7749601624752
Friday,2,-79.323108516285,43.6767661374199
Friday,14,-79.3260409324984,43.7469364191432
Friday,14,-79.5040035420169,43.6723225983453
Friday,14,-79.260184375389,43.7340608742832
Friday,11,-79.2489028721858,43.7902009045957
Friday,15,-79.2251593011977,43.7417866078101
Friday,7,-79.3783434102009,43.6662791241438
Friday,16,-79.2480811739989,43.7366903339619
Friday,16,-79.3745632872114,43.6570608976536
Thursday,23,-79.3821142086579,43.6590897743863
Friday,17,-79.3858513056889,43.6608094770709
Thursday,19,-79.2172998379838,43.80061558085
Friday,5,-79.1988710475123,43.7601377247408
Friday,18,-79.2147881349157,43.8075938847673
Friday,18,-79.4786972139238,43.6568321197482
Friday,12,-79.4353621706088,43.6598775908556
Monday,0,-79.2452191967654,43.7426252378926
Friday,11,-79.5075788689834,43.7227094774382
Friday,20,-79.5705178010247,43.7524682806397
Thursday,0,-79.2143029435461,43.7707957706724
Friday,20,-79.3905256446774,43.6484840745426
Thursday,9,-79.3176660983828,43.6846209173651
Friday,1,-79.2305530869076,43.8034541032048
Friday,21,-79.5441617031255,43.6976159389312
Sunday,15,-79.399912534069,43.7749601624752
Friday,2,-79.323108516285,43.6767661374199
Thursday,18,-79.5234409308762,43.7301857188574
Friday,0,-79.3668581910556,43.7382148616364
Sunday,15,-79.399912534069,43.7749601624752
Friday,1,-79.2305530869076,43.8034541032048
Thursday,15,-79.3594948824373,43.7733364365397
Monday,19,-79.5290585208985,43.6409205820233
Sunday,15,-79.399912534069,43.7749601624752
Friday,15,-79.42298165682,43.7781168123799
Thursday,14,-79.5072211172202,43.7154502079199
Thursday,8,-79.292389523839,43.6952683502293
Friday,21,-79.3389100760446,43.6613328270224
Tuesday,10,-79.3334919238806,43.7611750452179
Friday,21,-79.5363037063027,43.7318631789637
Friday,12,-79.2552888506679,43.7886240406486
Friday,19,-79.3773072187207,43.7120239455006
Friday,22,-79.3580094040926,43.6506322223433
Sunday,21,-79.4864487005524,43.7447713436292
Thursday,6,-79.3956244710586,43.6399394880405
Friday,9,-79.308832209764,43.7853061522564
Tuesday,12,-79.3744444859726,43.6688630191241
Friday,8,-79.2882602545578,43.7832806843452
Friday,20,-79.309041602631,43.6723811884421
Friday,23,-79.4627830271972,43.7534314425565
Friday,4,-79.4346576926687,43.7399950089862
Friday,23,-79.3334267718972,43.7256262969924
Friday,11,-79.4600005035986,43.6909605371644
Friday,11,-79.3200946145948,43.799482998962
Wednesday,12,-79.3033943199298,43.7401017717913
Friday,16,-79.2480811739989,43.7366903339619
Wednesday,18,-79.5152277778151,43.7681488158175
Friday,11,-79.2851587751799,43.6936984743672
Friday,3,-79.5495337423529,43.7276430493176
Friday,3,-79.2949170392782,43.6897126786835
Friday,1,-79.2305530869076,43.8034541032048
Friday,2,-79.5201958464543,43.6001783881594
Wednesday,16,-79.4224066263982,43.6434853629606
Friday,23,-79.4896467639825,43.7493408497121
Wednesday,18,-79.5152277778151,43.7681488158175
Wednesday,20,-79.5005171611429,43.7622348707609
Friday,6,-79.5212603780033,43.6776219724926
Friday,2,-79.5987157587186,43.7548747871823
Friday,12,-79.4277620590153,43.700520783946
Monday,7,-79.4375866105405,43.6515686619351
Thursday,0,-79.4143875464766,43.6731440945209
Friday,11,-79.2227655041115,43.8237509266849
Friday,2,-79.4207784840109,43.6493278942673
Friday,1,-79.4260138682159,43.6691354563614
Friday,10,-79.3080076520279,43.7869879844083
Friday,12,-79.3023556301652,43.8084544362939
Friday,1,-79.5660620717582,43.7605805306585
Friday,1,-79.2305530869076,43.8034541032048
Wednesday,23,-79.5345503800513,43.6389094430954
Monday,11,-79.3827242515802,43.7669097781832
Friday,12,-79.4213005797027,43.7914596416182
Thursday,20,-79.3854596988704,43.639022946286
Friday,1,-79.2305530869076,43.8034541032048
Friday,8,-79.3837023902441,43.6612460366714
Friday,10,-79.5514831282205,43.7204363255875
Thursday,7,-79.3930775050503,43.6707471618785
Friday,12,-79.4272281260391,43.7929578034454
Friday,1,-79.2305530869076,43.8034541032048
Wednesday,12,-79.5894194754931,43.7320165752452
Friday,8,-79.3851920829602,43.6592196999038
Friday,7,-79.5295496069487,43.6438792714567
Friday,8,-79.2882602545578,43.7832806843452
Friday,6,-79.2868864544302,43.6967616718492
Friday,20,-79.3508686574686,43.687963757655
Friday,22,-79.3988607862491,43.6720023067348
Friday,0,-79.4101584895587,43.6559649362524
Friday,0,-79.379064715344,43.6719091380556
Friday,12,-79.4383688317957,43.7173167590073
Friday,12,-79.4067219096808,43.7441433319926
Friday,16,-79.2480811739989,43.7366903339619
Friday,11,-79.4600005035986,43.6909605371644
Friday,13,-79.5137965538313,43.7198240863369
Friday,0,-79.5104223788272,43.7247661369879
Friday,15,-79.3464939884609,43.6702325961951
Thursday,16,-79.511387055911,43.7501285096067
Saturday,13,-79.2459838776914,43.7726729581945
Saturday,13,-79.2769731352756,43.7664227425035
Saturday,12,-79.3832001629001,43.6543126531725
Saturday,12,-79.4719026289431,43.6772221972667
Saturday,11,-79.2455293727054,43.739916115263
Saturday,11,-79.4323943090909,43.738010814375
Saturday,11,-79.3866249913636,43.6508466511827
Saturday,11,-79.5114537576796,43.6839559032649
Wednesday,10,-79.2309026408604,43.7238602402894
Friday,12,-79.2540290609032,43.7043968243023
Thursday,16,-79.511387055911,43.7501285096067
Saturday,18,-79.422963736262,43.7534872690844
Friday,22,-79.2349919094181,43.7757356077741
Friday,21,-79.3437191362443,43.7758285046409
Saturday,23,-79.5038346618397,43.7028718381898
Wednesday,3,-79.5347304559435,43.5920512778667
Saturday,18,-79.2501403880821,43.7349845781384
Friday,19,-79.3561987026629,43.6884250403444
Saturday,14,-79.2868864544302,43.6967616718492
Friday,15,-79.3464939884609,43.6702325961951
Saturday,23,-79.1944098058848,43.7613329083009
Saturday,22,-79.4632615277181,43.6654088330112
Saturday,22,-79.3844024458322,43.6628838129089
Wednesday,19,-79.463519765964,43.6984359321247
Saturday,22,-79.4056412601315,43.7765243454189
Saturday,22,-79.5088804406797,43.7309114783722
Wednesday,18,-79.3887141228592,43.6439633742916
Saturday,22,-79.3090324883632,43.809726488341
Wednesday,3,-79.5347304559435,43.5920512778667
Saturday,21,-79.5421282157603,43.7508415742286
Saturday,21,-79.3891771994868,43.6494508359939
Saturday,21,-79.3461121549924,43.6597314282467
Saturday,20,-79.3988626266637,43.6381169718995
Saturday,20,-79.4492695901005,43.7796670846419
Saturday,18,-79.4714769880066,43.7678203076073
Saturday,18,-79.5204011599846,43.7688205461889
Saturday,18,-79.2110468546962,43.7628602091512
Saturday,18,-79.4406768513424,43.7727628049188
Saturday,17,-79.3952783875474,43.648442682859
Saturday,17,-79.4577486742481,43.7528450367219
Saturday,17,-79.307839650993,43.7958628096908
Saturday,17,-79.4085062734209,43.8540981416327
Saturday,17,-79.3026417082586,43.7076640393905
Saturday,17,-79.3766988780826,43.6569575355094
Friday,23,-79.5487276555219,43.7120357812464
Tuesday,2,-79.5838187834556,43.6848137725219
Friday,11,-79.3980871552474,43.7773215208328
Friday,22,-79.4941578092892,43.6725805258257
Saturday,15,-79.266820890929,43.7342275045623
Friday,11,-79.3980871552474,43.7773215208328
Saturday,20,-79.4294343289643,43.6611445884786
Saturday,1,-79.4006330754994,43.6457274824645
Saturday,13,-79.4343097705351,43.657116427229
Friday,22,-79.2711070016033,43.7679187940272
Saturday,1,-79.3998652207525,43.6869298945493
Saturday,2,-79.5406594695133,43.7714977704867
Saturday,2,-79.5158757511106,43.6988295084939
Saturday,15,-79.3735615494499,43.6609365152246
Saturday,2,-79.5136815412583,43.7412339049138
Saturday,3,-79.2450577869203,43.7432240620235
Saturday,3,-79.1862222239397,43.7684028883572
Wednesday,2,-79.1880739975143,43.7672636737577
Saturday,5,-79.2444184257438,43.7512331904926
Saturday,15,-79.3371450548475,43.7016360617483
Saturday,16,-79.5354475905555,43.7343238617073
Saturday,5,-79.2543634623964,43.7353357422228
Saturday,0,-79.2849095401978,43.7675960799797
